ServerName,DBName,recovery_model_desc
DFHLBDMSQL07,dMerger_XML_Utility,FULL
DFHLBDMSQL07,dPSTG,FULL
DFHLBDMSQL07,dSTG,FULL
DFHLBDMSQL07,MasterDataServicesDB,FULL
DFHLBDMSQL07,zHubCore,FULL
DFHLBDMSQL08,model,FULL
DFHLBDMSQL08,ReportServer,FULL
DFHLBDMSQL08,REPOSITORY,FULL
DFHLBDMSQL08,DNSALIAS,FULL
DFHLBDMSQL08,Environment,FULL
DFHLBDMSQL12,deAdvantage,FULL
DFHLBDMSQL12,SystemDependencyMappings,FULL
DFHLBDMSQL12,BusinessProcessingPlatform,FULL
DFHLBDMSQL12,JournalVoucherApplication_Janderso,FULL
DFHLBDMSQL12,udahelper_Janderson,FULL
DFHLBDMSQL12,JournalVoucherApplication_SVege,FULL
DFHLBDMSQL12,JournalVoucherApplication_Dlauer,FULL
DFHLBDMSQL12,JournalVoucherApplication_rkomurav,FULL
DFHLBDMSQL13,dUlysses_Interface,FULL
DFHLBDMSQL14,AHP_Working,FULL
DFHLBDMSQL14,AHP_final,FULL
DFHLBDMSQL14,AHP_rescore,FULL
DFHLBDMSQL14,AHP_Working_SEA,FULL
DFHLBDMSQL14,LAS_CR,FULL
DFHLBDMSQL14,LASDB2,FULL
DFHLBDMSSIS01,SSISDB,FULL
DFHLBDMSSIS01,dSSIS_Utility,FULL
DFHLBDMSSIS02,model,FULL
DFHLBDMSSRS04,dReportServer,FULL
SQLTEST2016,model,FULL
SQLTEST2016,ReportServer,FULL
SQLTEST2016,SnehaTest,FULL
SQLTEST2016,tXLRISK,FULL
SQLTEST2016,tSOXXL,FULL
SQLTEST2016,dStatementSEA,FULL
SQLTEST2016,QRM_Source,FULL
PADMINSQL01,ReportServer,FULL
PADMINSQL02,ActiveAdministrator,FULL
PFHLBDMSQL05,admiral,FULL
PFHLBDMSQL05,pTrackIT,FULL
PFHLBDMSQL12,SalesLogix,FULL
PFHLBDMSQL12,peAdvantage,FULL
PFHLBDMSQL14,AHP_Final,FULL
PFHLBDMSQL14,AHP_Rescore,FULL
PFHLBDMSQL14,AHP_Working,FULL
PFHLBDMSQL14,AHP_Working_SEA,FULL
PFHLBDMSQL14,AHP_Final_SEA,FULL
PFHLBDMSSRS04,pReportServer,FULL
PQRMSQL11,ReportServer,FULL
PQRMSQL11,PCAv16DB,FULL
PQRMSQL11,PDAv16DB,FULL
PQRMSQL11,PCA2016,FULL
TFHLBDMSQL05,pTidalRepository,FULL
TFHLBDMSQL05,pTrackIT,FULL
TFHLBDMSQL05,Schedule,FULL
TFHLBDMSQL05,tFHLBIT,FULL
TFHLBDMSQL05,TRACKIT_DATA,FULL
TFHLBDMSQL05,tUARFDB,FULL
TFHLBDMSQL09,GPWEBCLIENTSESSIONCENTRAL,FULL
TFHLBDMSQL09,GPWEBMANAGEMENT,FULL
TFHLBDMSQL12,SalesLogix_HUB,FULL
TFHLBDMSQL12,teAdvantage,FULL
TFHLBDMSQL12,SalesLogix,FULL
TFHLBDMSQL12,hub,FULL
TFHLBDMSQL13,qUlysses_Interface,FULL
TFHLBDMSQL13,Ulysses_Interface,FULL
TFHLBDMSQL13,tXLRISK,FULL
TFHLBDMSQL13,tSOXXL,FULL
TFHLBDMSQL14,AHP_Final,FULL
TFHLBDMSQL14,AHP_Rescore,FULL
TFHLBDMSQL14,AHP_Working,FULL
TFHLBDMSQL14,AHP_Working_SEA,FULL
TFHLBDMSQL14,AHP_Final_SEA,FULL
TFHLBDMSQL14,LAS_CR,FULL
TFHLBDMSQL14,LASDB2,FULL
TFHLBDMSSIS02,model,FULL
TFHLBDMSSRS04,tReportServer,FULL
TVIEWSQL01,model,FULL
TVIEWSQL01,EntViewvCenter,FULL
TVIEWSQL01,EntViewVum,FULL
TVIEWSQL01,EntViewdb,FULL
TVIEWSQL01,appvolumes,FULL
TQRMSQL11,model,FULL
TQRMSQL11,ReportServer,FULL
TSHAREPSQL02,model,FULL
TSHAREPSQL02,IderaSPbackupRepository,FULL
TSHAREPSQL02,QSP_Repository,FULL
TSHAREPSQL02,ReportServer,FULL
TSHAREPSQL02,SharePoint_AdminContent_fc36da32-640c-42e5-88f7-59b40bc0ac48,FULL
TSHAREPSQL02,StateService_e86313279823409790487c0816283070,FULL
TSHAREPSQL02,WSS_Content,FULL
TSHAREPSQL02,WSS_Content_DELETE,FULL
TSHAREPSQL02,WSS_Content_TestHome,FULL
TSHAREPSQL02,WSS_seattle_content,FULL
TSHAREPSQL02,WSS_Seattle_Content_post_merger,FULL
TSHAREPSQL02,BDC_Service_DB,FULL
TSHAREPSQL02,Managed_Metadata_DB,FULL
TSHAREPSQL02,WSS_Content_MySite,FULL
UFHLBDMSQL14,AHP_Working,FULL
UFHLBDMSQL14,AHP_Working_SEA,FULL
UFHLBDMSSRS04,uReportServer,FULL
DFHLBDMSQL15,model,FULL
DFHLBDMSQL15,SalesLogix,FULL
DFHLBDMSQL15,deAdvantage,FULL
DFHLBDMSQL15,MortgageLoanApplication_Janderso,FULL
DFHLBDMSQL15,MortgageLoanApplication_SVege,FULL
TFHLBDMSQL15,model,FULL
TFHLBDMSQL15,teAdvantage,FULL
UFHLBDMSQL15,model,FULL
UFHLBDMSQL15,ueAdvantage,FULL
PFHLBDMSQL15,model,FULL
PFHLBDMSQL15,MarketRisk,FULL
PFHLBDMSQL16,model,FULL
TFHLBDMSQL16,model,FULL
DFHLBDMSQL16,model,FULL
UFHLBDMSQL16,model,FULL
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
